plugin,plugin_instances
js_composer_theme/js_composer.php,2
envira-albums/envira-albums.php,2
envira-dynamic/envira-dynamic.php,1
envira-gallery/envira-gallery.php,5
envira-supersize/envira-supersize.php,1
envira-zip-importer/envira-zip-importer.php,1
sociable/sociable.php,4
wordpress-faq-manager/faq-manager.php,2
wp-document-revisions/wp-document-revisions.php,3
envato-wordpress-toolkit-master/index.php,2
disable-wordpress-core-update/disable-core-update.php,1
wp-pagenavi/wp-pagenavi.php,4
password-protect-wordpress/plugin.php,7
folders/folders.php,1
wordpress-flickr-manager/FlickrManager.php,3
wp-auctions-uploader/auctions-uploader.php,2
wiki/wiki.php,2
blogger-importer/blogger-importer.php,8
flickr-rss/flickrrss.php,3
simple-facebook-share-button/simple_fb_share_button.php,4
wp-idea-stream/wp-idea-stream.php,1
display-posts-shortcode/display-posts-shortcode.php,1
wp-editor/wpeditor.php,5
topsy/topsy.php,1
redux-framework/redux-framework.php,1
cnhk-slideshow/cnhk-slideshow.php,2
post-notification/post_notification.php,3
wp-smush-pro/wp-smush.php,1
facebook-comments-notify/fbcomments-notify.php,1
wp-facebook-plugin/wp-facebook.php,5
wp-ui/wp-ui.php,5
notification/notification.php,1
countitround/countitround.php,2
wp-auctions-list/wp_auctions_list.php,1
user-bio-widget/user-bio-widget.php,3
extended-categories-widget/widget_extended_categories.php,1
membership/membership2.php,1
membership-pro/membership2.php,1
wp-activity/wp-activity.php,2
smart-archives-reloaded/smart-archives-reloaded.php,1
reflex-gallery/reflex-gallery.php,1
tabs/tabs.php,3
twenty-eleven-theme-extensions/moztheme2011.php,1
wp-jquery-lightbox/wp-jquery-lightbox.php,1
daikos-youtube-widget/thickbox_plugin.php,2
wp-jw-player/wp-jw-player.php,3
list-category-posts/list_cat_posts.php,5
widget-logic/widget_logic.php,1
contus-hd-flv-player/hdflvplugin.php,4
envira-gallery-themes/envira-gallery-themes.php,1
password-protect-wordpress/index.php,1
RSS-Atom-Custom/FeedWidget.php,2
printfriendly/pf.php,2
countdown-clock-timer/MyPlugIn.php,1
unconfirmed/unconfirmed.php,1
wysija-newsletters/index.php,1
comment-guestbook/comment-guestbook.php,2
marketpress/marketpress.php,1
metronet-profile-picture/metronet-profile-picture.php,1
yet-another-related-posts-plugin/yarpp.php,1
decent-comments/decent-comments.php,2
event-espresso-core-reg/espresso.php,1
IFBook-CommentPressPlugin-3f9b1c5/commentpress.php,1
dw-question-answer/dw-question-answer.php,1
